Partner Name,Partner ID
NTT America,10067970
"NTT America, Inc. SME",10522829
"NTT BizLink, Inc.",1702419
NTT Com Asia Limited,1797966
NTT Com ICT Solutions (Australia) Pty Ltd,1301306
"NTT Communications (Thailand) Co.,Ltd.",10474449
"NTT Communications China Co., Ltd.",56381494
NTT Communications Corporation,1825997
NTT Communications Corporation Australia Office,57884368
NTT Communications Corporation Bangkok Office,57884369
NTT Communications Corporation Barcelona Office,57884364
NTT Communications Corporation Cyberjaya Office,57884371
NTT Communications Corporation Frankfurt Office,57884361
NTT Communications Corporation Hong Kong Office,57884367
NTT Communications Corporation London Office,57884353
NTT Communications Corporation New York Office,57881966
NTT Communications Corporation Paris Office,57884363
NTT Communications Corporation Singapore Office,57884366
NTT Communications Russia,10969583
NTT DATA CORPORATION,1236220
NTT DATA INC,10617537
NTT DATA Inc.,10617537
NTT DATA ITALIA SPA,1426063
NTT DATA KYUSHU Corporation,1527270
NTT DATA Malaysia SDN BHD,57896585
NTT Europe,1537703
NTT Europe Limited,57923776
NTT Europe Ltd,1361033
NTT EUROPE ONLINE GMBH,2070921
NTT MSC Sdn Bhd,10862721
NTT NEOMEIT Corporation,1452129
NTT Singapore PTE Ltd,1109505
NTT SMARTCONNECT Corporation,56255498
"NTTPC Communications,Inc.",10397455
