Enduserorganization,Partner Group Name,Partner Type
Claranet Limited,Claranet,Accelerated Adoption
Claranet,Claranet,Accelerated Adoption
Star Technology Services,Claranet,Accelerated Adoption
DIVEO BRAZIL TELECOM,Diveo UOL,Accelerated Adoption
UOL DIVEO S.A.,Diveo UOL,Accelerated Adoption
Diveo Argentina S.A.,Diveo UOL,Accelerated Adoption
Diveo S.A.,Diveo UOL,Accelerated Adoption
Diveo SA,Diveo UOL,Accelerated Adoption
DIVEO BRAZIL TELECOM,Diveo UOL,Accelerated Adoption
Fujitsu Caribbean (Trinidad) Ltd.,Fujitsu,Showcase
Fujitsu Finland Oy,Fujitsu,Showcase
Fujitsu Sweden AB,Fujitsu,Showcase
Fujitsu Technology Solutions GmbH,Fujitsu,Showcase
FUJITSU DO BRASIL LTDA,Fujitsu,Showcase
FUJITSU AMERICA,Fujitsu,Showcase
FUJITSU AMERICA INC,Fujitsu,Showcase
FUJITSU MICROELECTRONICS AMERICA,Fujitsu,Showcase
Fujitsu Asia Pte Ltd,Fujitsu,Showcase
Fujitsu Australia Limited,Fujitsu,Showcase
Fujitsu Caribbean (Trinidad) Ltd,Fujitsu,Showcase
Fujitsu Brasil Servicos Ltda,Fujitsu,Showcase
FUJITSU DO BRASIL LTDA,Fujitsu,Showcase
Fujitsu do Brasil Ltda - Original Order 22356556,Fujitsu,Showcase
Fujitsu do Brasil Ltdatda - Original Order 22356556,Fujitsu,Showcase
Fujitsu Finland Oy,Fujitsu,Showcase
FUJITSU FIP CORPORATION,Fujitsu,Showcase
Fujitsu FTS Portugal,Fujitsu,Showcase
Fujitsu Technology,Fujitsu,Showcase
Fujitsu Kagoshima Infornet LIMITED,Fujitsu,Showcase
Fujitsu Kagoshima Infornet Ltd,Fujitsu,Showcase
Fujitsu Kyushu Systems LIMITED,Fujitsu,Showcase
Fujitsu Limited,Fujitsu,Showcase
Fujitsu Limited (Japan),Fujitsu,Showcase
Fujitsu,Fujitsu,Showcase
Fujitsu Norway AS,Fujitsu,Showcase
Fujitsu NZ,Fujitsu,Showcase
Fujitsu,Fujitsu,Showcase
Fujitsu Services,Fujitsu,Showcase
Fujitsu Systems Business (Thailand) Ltd.,Fujitsu,Showcase
Fujitsu Systems Business Thailand Ltd,Fujitsu,Showcase
FUJITSU SYSTEMS WEST LIMITED,Fujitsu,Showcase
Fujitsu Systems West Ltd,Fujitsu,Showcase
Fujitsu Technology Solutions GmbH,Fujitsu,Showcase
Fujitsu Vietnam Ltd,Fujitsu,Showcase
FUJITSU YFC LIMITED,Fujitsu,Showcase
Fujitsu YFC Ltd,Fujitsu,Showcase
Fujitsu FTS Portugal,Fujitsu,Showcase
FUJITSU YFC LIMITED,Fujitsu,Showcase
Fujitsu Australia Ltd,Fujitsu,Showcase
Fujitsu NZ,Fujitsu,Showcase
IBM,IBM,Showcase
IBM Australia,IBM,Showcase
IBM Australia Ltd,IBM,Showcase
