orderidpm,id,partnerrep2,partner_rep3,gamrep,orderdate,detailtotal,DetailTotalConstantPlan,detailtotalUSD,ConstantCurrency,detailtotalLC,product,geoTJ,channel,bu,qtr,currency,platformgroup,platform,productgroup,weekofqtr,orderid,enduserorganization,billtoorganization,shiptoorganization,shiptoisocountrycode,partnerid,regiontj,subregiontj,directrep,sirep,reseller,store_sku,PointPlan,comments,CommentsFlag,Prepayment Calculations FLag,source,month,enduserisocountrycode,RegionSegment,qty,enteredby,vspp_rep,namrep,SnSMonths,VSPP_EXTERNAL_SKU,class,enduserzip,ACV_INSTALLMENT_NUMBER,media,DirectRep_CAM_SE
12822193,129841175,,,GLOBAL ACCOUNT-IBM,2017/09/27,9917.6,9917.6,9917.6,9917.6,9917.6,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,8,12822193,IBM,SHI International Corp,IBM,US,56056730,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,IBM,VSPP3-CUST-1-RENT,Custom,,Other,,Store,2017/09/02,US,LATAM,22540,Gross Bookings,BDM_LATAM_BRAZIL,GLOBAL ACCOUNT-IBM-VCAN,1,VCL-PRE-C-special-IBM,Software,10589,,Hosting Fees,
12822193,129841174,,,GLOBAL ACCOUNT-IBM,2017/09/27,0,0,0,0,0,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,8,12822193,IBM,SHI International Corp,IBM,US,56056730,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,IBM,VSPP-CUST-RENT,Custom,,Other,,Store,2017/09/02,US,LATAM,1,Gross Bookings,BDM_LATAM_BRAZIL,GLOBAL ACCOUNT-IBM-VCAN,1,VCL-PRE-C-special-IBM,Software,10589,,Hosting Fees,
23972922,129685637,,,GLOBAL ACCOUNT-IBM,2017/09/21,188,188,188,188,188,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP3-CUST-1-RENT,Custom,,Other,,Store,2017/09/02,GB,LATAM,400,Gross Bookings,BDM_LATAM_BRAZIL,,1,VMW_VSAN_ADV_SPECIAL,Software,KT91SJ,,Hosting Fees,
23972922,129685636,,,GLOBAL ACCOUNT-IBM,2017/09/21,0,0,0,0,0,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-CUST-RENT,Custom,,Other,,Store,2017/09/02,GB,LATAM,1,Gross Bookings,BDM_LATAM_BRAZIL,,1,VMW_VSAN_ADV_SPECIAL,Software,KT91SJ,,Hosting Fees,
23972922,129685635,,,GLOBAL ACCOUNT-IBM,2017/09/21,19596.65,19596.65,19596.65,19596.65,19596.65,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP3-CUST-1-RENT,Custom,,Other,,Store,2017/09/02,GB,LATAM,41695,Gross Bookings,BDM_LATAM_BRAZIL,,1,VCL-VS-EP-SPECIAL_V01,Software,KT91SJ,,Hosting Fees,
23972922,129685634,,,GLOBAL ACCOUNT-IBM,2017/09/21,0,0,0,0,0,VI,AMER,DIRECT,Server,18Q3,USD,VCPP,VCPP,VCPP,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,LATAM,BRAZIL,VCAN_AMER,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-CUST-RENT,Custom,,Other,,Store,2017/09/02,GB,LATAM,1,Gross Bookings,BDM_LATAM_BRAZIL,,1,VCL-VS-EP-SPECIAL_V01,Software,KT91SJ,,Hosting Fees,
23972922,129685633,,,GLOBAL ACCOUNT-IBM,2017/09/21,100.58,100.58,100.58,100.58,100.58,Business Management,AMER,DIRECT,Server,18Q3,USD,vRealize Business,vRealize Business STD,vRealize Management,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,GLOBAL REG,GLOBAL HOME,GLOBAL ACCOUNT-IBM,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-Management,VSPP-Management,,Other,,Store,2017/09/02,GB,GLOBAL,214,Gross Bookings,BDM_LATAM_BRAZIL,,1,VREAL-OPS-Enterprise-C-Special,Software,KT91SJ,,Hosting Fees,
23972922,129685632,,,GLOBAL ACCOUNT-IBM,2017/09/21,0,0,0,0,0,Business Management,AMER,DIRECT,Server,18Q3,USD,vRealize Business,vRealize Business STD,vRealize Management,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,GLOBAL REG,GLOBAL HOME,GLOBAL ACCOUNT-IBM,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-Management,VSPP-Management,,Other,,Store,2017/09/02,GB,GLOBAL,1,Gross Bookings,BDM_LATAM_BRAZIL,,1,VREAL-OPS-Enterprise-C-Special,Software,KT91SJ,,Hosting Fees,
23972922,129685631,,,GLOBAL ACCOUNT-IBM,2017/09/21,184.24,184.24,184.24,184.24,184.24,Business Management,AMER,DIRECT,Server,18Q3,USD,vRealize Business,vRealize Business STD,vRealize Management,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,GLOBAL REG,GLOBAL HOME,GLOBAL ACCOUNT-IBM,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-Management,VSPP-Management,,Other,,Store,2017/09/02,GB,GLOBAL,392,Gross Bookings,BDM_LATAM_BRAZIL,,1,VREAL-AUTO-Enterprise-C-SPECIAL,Software,KT91SJ,,Hosting Fees,
23972922,129685630,,,GLOBAL ACCOUNT-IBM,2017/09/21,0,0,0,0,0,Business Management,AMER,DIRECT,Server,18Q3,USD,vRealize Business,vRealize Business STD,vRealize Management,7,23972922,SoftLayer,"Softlayer Technologies, Inc.",Softlayer Brazil,BR,57631213,GLOBAL REG,GLOBAL HOME,GLOBAL ACCOUNT-IBM,IBM GLOBAL SERVICES (IGS) - VSPP,SoftLayer,VSPP-Management,VSPP-Management,,Other,,Store,2017/09/02,GB,GLOBAL,1,Gross Bookings,BDM_LATAM_BRAZIL,,1,VREAL-AUTO-Enterprise-C-SPECIAL,Software,KT91SJ,,Hosting Fees,
