Product,Product Group
Special Bundle vSphere Enterprise & vCenter Server - special OVH,Bundle
U.S. Federal vCloud Service Provider Bundle - Premier Edition (End of Life 31Dec2016),Bundle
"U.S. Federal vCloud Service Provider Bundle - Premier Edition (scheduled to be removed May 1, 2017)",Bundle
U.S. Federal vCloud Service Provider Bundle - Premier Plus Edition (End of Life 31Dec2016),Bundle
"U.S. Federal vCloud Service Provider Bundle - Premier Plus Edition(scheduled to be removed May 1, 2017)",Bundle
U.S. Federal vCloud Service Provider Bundle - Standard Edition (End of Life 31Dec2016),Bundle
"U.S. Federal vCloud Service Provider Bundle - Standard Edition (scheduled to be removed May 1, 2017)",Bundle
U.S. Federal VMware vCloud SP Advanced Bundle (*New*),Bundle
U.S. Federal VMware vCloud SP Advanced Bundle with Management (*New*),Bundle
U.S. Federal VMware vCloud SP Advanced Bundle with Networking (*New*),Bundle
U.S. Federal VMware vCloud SP Advanced Bundle with Networking & Management (*New*),Bundle
U.S. Federal VMware vCloud SP Standard Bundle (*New*),Bundle
U.S. Federal VMware vCloud SP Standard Bundle with Management(*New*),Bundle
U.S. Federal VMware vCloud SP Standard Bundle with Networking (*New*),Bundle
US Federal VMware vCloud Service Provider Bundle – Premier-X Edition (End of Life 31Dec2016) Please report new vCAN bundles,Bundle
"US Federal VMware vCloud Service Provider Bundle – Premier-X Edition 10PPU (scheduled to be removed May 1, 2017)",Bundle
US Federal VMware vCloud Service Provider Bundle – Premier-X Plus Edition (End of Life 31Dec2016),Bundle
US Federal VMware vCloud Service Provider Bundle – Premier-X Plus Edition (End of Life 31Dec2016) Please report new vCAN bundles,Bundle
"US Federal VMware vCloud Service Provider Bundle – Premier-X Plus Edition 13PPU (scheduled to be removed May 1, 2017)",Bundle
vCloud Service Provider Bundle - Premier Edition -Softlayer,Bundle
vCloud Service Provider Bundle - Premier Edition (End of Life 31Dec2016),Bundle
vCloud Service Provider Bundle - Premier Edition (End of Life April 2017) Please report new vCAN bundles,Bundle
vCloud Service Provider Bundle - Premier Edition (Flexible Licensing),Bundle
"vCloud Service Provider Bundle - Premier Edition (scheduled to be removed May 1, 2017)",Bundle
vCloud Service Provider Bundle - Premier Edition-special,Bundle
vCloud Service Provider Bundle - Premier Plus Edition (End of Life 31Dec2016),Bundle
"vCloud Service Provider Bundle - Premier Plus Edition (scheduled to be removed May 1, 2017)",Bundle
vCloud Service Provider Bundle - Standard Edition(End of Life 31Dec2016),Bundle
"vCloud Service Provider Bundle - Standard Edition(scheduled to be removed May 1, 2017)",Bundle
VMware vCloud Premier Service Provider Bundle II (IBM Custom) PPU 5,Bundle
VMware vCloud Service Provider Bundle - Premier Edition (special measure),Bundle
VMware vCloud Service Provider Bundle – Peak 10 Custom Bundle,Bundle
VMware vCloud Service Provider Bundle – Premier-X Edition,Bundle
VMware vCloud Service Provider Bundle – Premier-X Edition (End of Life 31Dec2016),Bundle
VMware vCloud Service Provider Bundle – Premier-X Edition (End of Life 31Dec2016) Please report new vCAN bundles,Bundle
"VMware vCloud Service Provider Bundle – Premier-X Edition 10PPU (scheduled to be removed May 1, 2017)",Bundle
"VMware vCloud Service Provider Bundle – Premier-X Edition NSX for Rackspace US, Inc",Bundle
VMware vCloud Service Provider Bundle – Premier-X Edition-special,Bundle
VMware vCloud Service Provider Bundle – Premier-X Plus Edition (End of Life 31Dec2016),Bundle
VMware vCloud Service Provider Bundle – Premier-X Plus Edition (End of Life 31Dec2016) Please report new vCAN bundles,Bundle
"VMware vCloud Service Provider Bundle – Premier-X Plus Edition 13PPU (scheduled to be removed May 1, 2017)",Bundle
VMware vCloud Service Provider Bundle – Premier-X Plus Edition-special,Bundle
VMware vCloud SP Advanced Bundle (*New*),Bundle
VMware vCloud SP Advanced Bundle (*New*) -- 4pts,Bundle
