No,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（�u）,取引価格（�u単価）,土地の形状,間口,延床面積（�u）,建築年,建物の構造,建物の用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,備考
1,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,75000000,,３ＬＤＫ,75,,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成29年第１四半期,未改装を購入
2,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,4000000,,１ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成28年第３四半期,未改装を購入
3,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,57000000,,２ＬＤＫ,65,,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第３四半期,未改装を購入
4,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,31000000,,１Ｋ,30,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第２四半期,未改装を購入
5,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,20000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第１四半期,未改装を購入
6,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,96000000,,オープンフロア,85,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,第１種住居地域,60,300,平成27年第３四半期,
7,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
8,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,19000000,,２ＤＫ,45,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第３四半期,未改装を購入
9,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,380000000,,オープンフロア,340,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
10,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,440000000,,オープンフロア,440,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
11,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,280000000,,オープンフロア,240,,,,,平成5年,ＳＲＣ,事務所,その他,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
12,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,520000000,,オープンフロア,440,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,改装済を購入
13,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,210000000,4500000,,155,1300000,長方形,10.6,,,,,住宅,南,区道,5.5,第１種住居地域,60,300,平成27年第２四半期,
14,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,13,140000000,4600000,,105,1400000,台形,11.5,,,,,住宅,南西,区道,7.8,第１種低層住居専用地域,60,150,平成27年第２四半期,
15,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,290000000,,,100,,正方形,10,280,平成27年,ＲＣ,共同住宅、店舗,住宅,西,区道,7.1,第１種住居地域,60,300,平成27年第１四半期,
16,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,21000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第１四半期,改装済を購入
17,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,62000000,,２ＬＤＫ,70,,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第１四半期,未改装を購入
18,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,18000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第１四半期,未改装を購入
19,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第１四半期,未改装を購入
20,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,19000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成26年第４四半期,未改装を購入
21,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,21000000,,２ＬＤＫ,45,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成26年第４四半期,未改装を購入
22,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,39000000,,１Ｋ,40,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成26年第３四半期,未改装を購入
23,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,13,55000000,,２ＬＤＫ,55,,,,,平成24年,ＲＣ,住宅,住宅,,,,第１種低層住居専用地域,60,150,平成26年第３四半期,
24,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,23000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第３四半期,未改装を購入
25,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,20000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第３四半期,
26,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,110000000,3600000,,100,1100000,正方形,10,,,,,住宅,西,区道,7.3,第１種住居地域,60,300,平成26年第２四半期,
27,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,45000000,,１ＬＤＫ,60,,,,,平成14年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,調停・競売等、未改装を購入
28,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,67000000,,,75,,,,,平成14年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,未改装を購入
29,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,9,170000000,2900000,,185,890000,ほぼ長方形,10.1,,,,,,北西,区道,7,第１種住居地域,60,300,平成25年第４四半期,
30,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,210000000,3600000,,190,1100000,長方形,10.5,,,,,,北西,区道,7.2,第１種住居地域,60,300,平成25年第４四半期,
31,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,7,80000000,,,65,,長方形,6,100,平成26年,木造,住宅,,東,区道,3.7,第１種住居地域,60,300,平成25年第４四半期,
32,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,21000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第４四半期,未改装を購入
